ORDERCODE|RECORD_TYPE|PRODUCT_ID|SKU|BRAND|MODEL_NAME|QUANTITY|STREET_PRICE|PRICE|WEIGHT|PICTURE_1|PICTURE_2|PICTURE_3|SEX|CAT|SUBCAT|MODEL_ID|BARCODE|MODEL_SIZE|COLOR_CODE|COLOR|MADE_IN|MATERIAL|EAN|STAGIONE|Titel_ITA|Description_ITA|Titel_EN|Description_EN|Titel_ES|Description_ES|Titel_FR|Description_FR|Titel_DE|Description_DE|Lunghezza|Profondita|Altezza|Product_url|Titel_BG|Description_BG|Titel_PL|Description_PL|Titel_CZ|Description_CZ|Titel_SK|Description_SK|Titel_HU|Description_HU|Titel_RO|Description_RO
INM001021055_BL846_XL|MODEL|31372|INM001021055_BL846|||79|65.00|14.98||||||||106915|8055168616336|XL|blu|Blu|||8055168616336|||||||||||||||||||||||||||
INM001021055_BL846_2XL|MODEL|31372|INM001021055_BL846|||64|65.00|14.98||||||||106916|8055168616343|2XL|blu|Blu|||8055168616343|||||||||||||||||||||||||||
INM001021055_VE674|PRODUCT|31371|INM001021055_VE674|"HARMONT &amp; BLAINE"|INM001021055_VE674|124|65.00|14.98||https://cdn.stockfirmati.com/catalog/31371/harmont26blainet-shirtmanichecorteuomoverde_1.jpg|https://cdn.stockfirmati.com/catalog/31371/harmont26blainet-shirtmanichecorteuomoverde_2.jpg||uomo|Abbigliamento|T-Shirt||||verde|Verde|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO VERDE"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE GREEN MEN&#39;S SHORT SLEEVE T-SHIRT"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE VERDE"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT À MANCHES COURTES HOMME VERT"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE GRÜNES KURZÄRMELIGES HERREN-T-SHIRT"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31371/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-verde|"HARMONT &amp; BLAINE GREEN МЪЖКА ТЕНИСКА С КЪС РЪКАВ"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДИРАЦИЯ, ЛОГО"|"ZIELONY T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE"|"T-SHIRT Z KRÓTKIM RĘKAWEM, WĄSKI KRÓJ, GŁADKI SZYJ, HAFTY, LOGO"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE ZELENÉ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE GREEN FÉRFI RÖVID UJJÚ PÓLÓ"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI VERDE HARMONT &amp; BLAINE"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_VE674_S|MODEL|31371|INM001021055_VE674|||10|65.00|14.98||||||||106909|8055168616251|S|verde|Verde|||8055168616251|||||||||||||||||||||||||||
INM001021055_VE674_M|MODEL|31371|INM001021055_VE674|||27|65.00|14.98||||||||106912|8055168616244|M|verde|Verde|||8055168616244|||||||||||||||||||||||||||
INM001021055_VE674_L|MODEL|31371|INM001021055_VE674|||33|65.00|14.98||||||||106913|8055168526857|L|verde|Verde|||8055168526857|||||||||||||||||||||||||||
INM001021055_VE674_XL|MODEL|31371|INM001021055_VE674|||39|65.00|14.98||||||||106911|8055168616268|XL|verde|Verde|||8055168616268|||||||||||||||||||||||||||
INM001021055_VE674_2XL|MODEL|31371|INM001021055_VE674|||15|65.00|14.98||||||||106910|8055168616275|2XL|verde|Verde|||8055168616275|||||||||||||||||||||||||||
INM001021055_VI588|PRODUCT|31370|INM001021055_VI588|"HARMONT &amp; BLAINE"|INM001021055_VI588|429|65.00|14.98||https://cdn.stockfirmati.com/catalog/31370/harmont26blainet-shirtmanichecorteuomoviola_1.jpg|https://cdn.stockfirmati.com/catalog/31370/harmont26blainet-shirtmanichecorteuomoviola_2.jpg||uomo|Abbigliamento|T-Shirt||||viola|Viola|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO VIOLA"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE MEN&#39;S SHORT SLEEVE T-SHIRT PURPLE"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE MORADO"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT À MANCHES COURTES HOMME VIOLET"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE HERREN-KURZARM-T-SHIRT LILA"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31370/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-viola|"HARMONT &amp; BLAINE МЪЖКА ТЕНИСКА С КЪС РЪКАВ ЛИЛАВ"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДЕРИИ, ЛОГО"|"T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE FIOLETOWY"|"T-SHIRT Z KRÓTKIM RĘKAWEM, WĄSKI KRÓJ, GŁADKI SZYJ, HAFTY, LOGO"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE FIALOVÉ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE FÉRFI RÖVID UJJÚ PÓLÓ, LILA"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI HARMONT &amp; BLAINE Mânecă Scurtă MOV"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_VI588_S|MODEL|31370|INM001021055_VI588|||75|65.00|14.98||||||||106904|8055168616190|S|viola|Viola|||8055168616190|||||||||||||||||||||||||||
INM001021055_VI588_M|MODEL|31370|INM001021055_VI588|||100|65.00|14.98||||||||106908|8055168616183|M|viola|Viola|||8055168616183|||||||||||||||||||||||||||
INM001021055_VI588_L|MODEL|31370|INM001021055_VI588|||91|65.00|14.98||||||||106906|8055168616176|L|viola|Viola|||8055168616176|||||||||||||||||||||||||||
INM001021055_VI588_XL|MODEL|31370|INM001021055_VI588|||92|65.00|14.98||||||||106905|8055168616206|XL|viola|Viola|||8055168616206|||||||||||||||||||||||||||
INM001021055_VI588_2XL|MODEL|31370|INM001021055_VI588|||71|65.00|14.98||||||||106907|8055168616213|2XL|viola|Viola|||8055168616213|||||||||||||||||||||||||||
INM001021055_MA706|PRODUCT|31369|INM001021055_MA706|"HARMONT &amp; BLAINE"|INM001021055_MA706|424|65.00|14.98||https://cdn.stockfirmati.com/catalog/31369/harmont26blainet-shirtmanichecorteuomomarrone_1.jpg|https://cdn.stockfirmati.com/catalog/31369/harmont26blainet-shirtmanichecorteuomomarrone_2.jpg||uomo|Abbigliamento|T-Shirt||||marrone|Marrone|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO MARRONE"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE MEN&#39;S SHORT SLEEVE T-SHIRT BROWN"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE MARRÓN"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT À MANCHES COURTES HOMME MARRON"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE HERREN-KURZARM-T-SHIRT BRAUN"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31369/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-marrone|"HARMONT &amp; BLAINE МЪЖКА ТЕНИСКА С КЪС РЪКАВ КАФЯВО"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДЕРИИ, ЛОГО"|"T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE BRĄZOWY"|"T-SHIRT Z KRÓTKIM RĘKAWEM, WĄSKI KRÓJ, GŁADKI SZYJ, HAFTY, LOGO"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE HNEDÉ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE FÉRFI RÖVID UJJÚ PÓLÓ BARNA"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI HARMONT &amp; BLAINE MARO cu mânecă scurtă"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_MA706_S|MODEL|31369|INM001021055_MA706|||72|65.00|14.98||||||||106900|8055168634446|S|marrone|Marrone|||8055168634446|||||||||||||||||||||||||||
INM001021055_MA706_M|MODEL|31369|INM001021055_MA706|||90|65.00|14.98||||||||106901|8055168634453|M|marrone|Marrone|||8055168634453|||||||||||||||||||||||||||
INM001021055_MA706_L|MODEL|31369|INM001021055_MA706|||94|65.00|14.98||||||||106902|8055168634460|L|marrone|Marrone|||8055168634460|||||||||||||||||||||||||||
INM001021055_MA706_XL|MODEL|31369|INM001021055_MA706|||97|65.00|14.98||||||||106903|8055168634477|XL|marrone|Marrone|||8055168634477|||||||||||||||||||||||||||
INM001021055_MA706_2XL|MODEL|31369|INM001021055_MA706|||71|65.00|14.98||||||||106899|8055168634484|2XL|marrone|Marrone|||8055168634484|||||||||||||||||||||||||||
INM001021055_AR407|PRODUCT|31368|INM001021055_AR407|"HARMONT &amp; BLAINE"|INM001021055_AR407|426|65.00|14.98||https://cdn.stockfirmati.com/catalog/31368/harmont26blainet-shirtmanichecorteuomoarancio_1.jpg|https://cdn.stockfirmati.com/catalog/31368/harmont26blainet-shirtmanichecorteuomoarancio_2.jpg||uomo|Abbigliamento|T-Shirt||||arancione|Arancione|INDIA|"100% Cotone"||PE|"HARMONT & BLAINE T-SHIRT MANICHE CORTE UOMO ARANCIO"|"T-SHIRT MANICHE CORTE, NARROW FIT, GIROCOLLO, RICAMO, LOGO"|"HARMONT &amp; BLAINE MEN&#39;S SHORT SLEEVE T-SHIRT ORANGE"|"SHORT SLEEVE T-SHIRT, NARROW FIT, CREW NECK, EMBROIDERY, LOGO"|"CAMISETA MANGA CORTA HOMBRE HARMONT &amp; BLAINE NARANJA"|"CAMISETA DE MANGA CORTA, CORTE ESTRECHO, CUELLO REDONDO, BORDADO, LOGO"|"HARMONT &amp; BLAINE T-SHIRT MANCHES COURTES HOMME ORANGE"|"T-SHIRT À MANCHES COURTES, COUPE ÉTROITE, COL ROND, BRODERIE, LOGO"|"HARMONT &amp; BLAINE HERREN-KURZARM-T-SHIRT ORANGE"|"KURZÄRMELIGES T-Shirt, schmale Passform, Rundhalsausschnitt, Stickerei, Logo"||||https://www.stockfirmati.it/d/31368/harmont-blaine/t-shirt/uomo/harmont-blaine-t-shirt-maniche-corte-uomo-arancio|"HARMONT &amp; BLAINE МЪЖКА ТЕНИСКА С КЪС РЪКАВ ОРАНЖЕВО"|"ТЕНИСКА С КЪС РЪКАВ, ТЯСНА КРОЯ, КРЪГО ДЕКО, БРОДЕРИИ, ЛОГО"|"T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM HARMONT &amp; BLAINE POMARAŃCZOWY"|"T-shirt z krótkim rękawem, wąski krój, okrągły dekolt, haft, logo"|||"PÁNSKE TRIČKO S KRÁTKYM RUKÁVOM HARMONT &amp; BLAINE ORANŽOVÉ"|"TRIČKO S KRÁTKYM RUKÁVOM, ÚZKY STRIEH, VÝKRK, VÝŠIVKY, LOGO"|"HARMONT &amp; BLAINE FÉRFI RÖVID UJJÚ PÓLÓ NARANCS"|"RÖVID UJJÚ PÓLÓ, SZŰEN FIZETŰ, NYAKOS, HÍMZÉS, LOGO"|"TRIOU BĂRBAȚI HARMONT &amp; BLAINE PORTOCIAL"|"TRIOC CU MÂNECĂ SCURTĂ, CUIVIRE ÎNgustă, GÂT RUP, BRODERIE, LOGO"
INM001021055_AR407_S|MODEL|31368|INM001021055_AR407|||71|65.00|14.98||||||||106896|8055168616121|S|arancione|Arancione|||8055168616121|||||||||||||||||||||||||||
INM001021055_AR407_M|MODEL|31368|INM001021055_AR407|||96|65.00|14.98||||||||106895|8055168616114|M|arancione|Arancione|||8055168616114|||||||||||||||||||||||||||
INM001021055_AR407_L|MODEL|31368|INM001021055_AR407|||94|65.00|14.98||||||||106897|8055168616107|L|arancione|Arancione|||8055168616107|||||||||||||||||||||||||||
INM001021055_AR407_XL|MODEL|31368|INM001021055_AR407|||93|65.00|14.98||||||||106898|8055168616138|XL|arancione|Arancione|||8055168616138|||||||||||||||||||||||||||
INM001021055_AR407_2XL|MODEL|31368|INM001021055_AR407|||72|65.00|14.98||||||||106894|8055168616145|2XL|arancione|Arancione|||8055168616145|||||||||||||||||||||||||||
PM508209EGGOLONG_BL595|PRODUCT|31367|PM508209EGGOLONG_BL595|"PEPE JEANS"|PM508209EGGOLONG_BL595|12|53.00|14.83||https://cdn.stockfirmati.com/catalog/31367/pepejeanst-shirtmanichecorteuomoblu_1.jpg|https://cdn.stockfirmati.com/catalog/31367/pepejeanst-shirtmanichecorteuomoblu_2.jpg||uomo|Abbigliamento|T-Shirt||||blu|Blu|PORTOGALLO|"100% Cotone"||PE|"PEPE JEANS T-SHIRT MANICHE CORTE UOMO BLU"|"T-SHIRT MANICHE LUNGHE, REGULAR FIT, GIROCOLLO, STAMPA, LOGO, 100% SUSTAINABLE COTTON"|"PEPE JEANS MEN&#39;S SHORT SLEEVED T-SHIRT BLUE"|"LONG SLEEVED T-SHIRT, REGULAR FIT, CREW NECK, PRINT, LOGO, 100% SUSTAINABLE COTTON"|"CAMISETA MANGA CORTA HOMBRE PEPE JEANS AZUL"|"CAMISETA DE MANGA LARGA, REGULAR FIT, CUELLO REDONDO, ESTAMPADO, LOGO, 100% ALGODÓN SOSTENIBLE"|"PEPE JEANS T-SHIRT À MANCHES COURTES HOMME BLEU"|"T-SHIRT À MANCHES LONGUES, COUPE REGULIÈRE, COL ROND, IMPRIMÉ, LOGO, 100% COTON DURABLE"|"PEPE JEANS HERREN-KURZÄRMELIGES T-SHIRT BLAU"|"LANGÄRMELIGES T-SHIRT, REGELMÄSSIGE PASSFORM, RUNDHALS, AUFDRUCK, LOGO, 100 % NACHHALTIGE BAUMWOLLE"||||https://www.stockfirmati.it/d/31367/pepe-jeans/t-shirt/uomo/pepe-jeans-t-shirt-maniche-corte-uomo-blu|"PEPE JEANS МЪЖКА ТЕНИСКА С КЪС РЪКАВ СИН"|"ТЕНИСКА С ДЪЛЪГ РЪКАВ, РЕГУЛАРНА КРОЯ, ЦЯЛО ДЕКО, ЩАМП, ЛОГО, 100% УСТОЙЧИВ ПАМУК"|"NIEBIESKI T-SHIRT MĘSKI Z KRÓTKIM RĘKAWEM PEPE JEANS"|"T-SHIRT Z DŁUGIM RĘKAWEM, KRÓJ REGULAR, Z ŁÓŻKĄ, NADRUKIEM, LOGO, 100% BAWEŁNY ZRÓWNOWAŻONEJ"|||"PÁNSKE TRIČKO PEPE JEANS S KRÁTKYMI RUKÁVMI MODRÁ"|"TRIČKO S DLHÝMI RUKÁVMI, STRIEH REGULAR, VÝKRK, POTLAČ, LOGO, 100% UDRŽATEĽNÁ BAVLNA"|"PEPE JEANS FÉRFI RÖVID UJJÚ PÓLÓ KÉK"|"HOSSZÚ UJJÚ PÓLÓ, SZABÁLYOS ISMŰ, NYAKOS, NYAKOS, PRINT, LOGO, 100% FENNTARTHATÓ PAMUT"|"TRIOU BĂRBAȚI PEPE JEANS mânecă scurtă ALBASTRU"|"TRIOC CU MÂNECĂ LUNGĂ, CUMPĂRĂ OGUNĂ, GÂT RĂU, IMPRIMAT, LOGO, 100% BUMBAC DURABIL"
PM508209EGGOLONG_BL595_S|MODEL|31367|PM508209EGGOLONG_BL595|||2|53.00|14.83||||||||106893|8445512047327|S|blu|Blu|||8445512047327|||||||||||||||||||||||||||
PM508209EGGOLONG_BL595_M|MODEL|31367|PM508209EGGOLONG_BL595|||5|53.00|14.83||||||||106891|8445512047310|M|blu|Blu|||8445512047310|||||||||||||||||||||||||||
PM508209EGGOLONG_BL595_L|MODEL|31367|PM508209EGGOLONG_BL595|||5|53.00|14.83||||||||106892|8445512047303|L|blu|Blu|||8445512047303|||||||||||||||||||||||||||
